"Notes"	"Year"	"Year Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"Black or African American"	"2054-5"	"Male"	"M"	4718	16485737	28.6	50.0
	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"White"	"2106-3"	"Female"	"F"	26170	100698584	26.0	19.2
	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"White"	"2106-3"	"Male"	"M"	23177	96455534	24.0	25.0
	"1999"	"1999"	"#Parkinson disease (G20-G21)"	"GR113-051"	"Black or African American"	"2054-5"	"Female"	"F"	233	18236499	1.3	1.7
	"1999"	"1999"	"#Parkinson disease (G20-G21)"	"GR113-051"	"Black or African American"	"2054-5"	"Male"	"M"	269	16485737	1.6	3.8
	"1999"	"1999"	"#Parkinson disease (G20-G21)"	"GR113-051"	"White"	"2106-3"	"Female"	"F"	5827	100698584	5.8	3.9
	"1999"	"1999"	"#Parkinson disease (G20-G21)"	"GR113-051"	"White"	"2106-3"	"Male"	"M"	7648	96455534	7.9	9.0
	"1999"	"1999"	"#Alzheimer disease (G30)"	"GR113-052"	"Black or African American"	"2054-5"	"Female"	"F"	1636	18236499	9.0	11.8
	"1999"	"1999"	"#Alzheimer disease (G30)"	"GR113-052"	"Black or African American"	"2054-5"	"Male"	"M"	689	16485737	4.2	10.3
	"1999"	"1999"	"#Alzheimer disease (G30)"	"GR113-052"	"White"	"2106-3"	"Female"	"F"	28582	100698584	28.4	18.4
	"1999"	"1999"	"#Alzheimer disease (G30)"	"GR113-052"	"White"	"2106-3"	"Male"	"M"	12253	96455534	12.7	15.2
	"1999"	"1999"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"Black or African American"	"2054-5"	"Female"	"F"	40636	18236499	222.8	286.7
	"1999"	"1999"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"Black or African American"	"2054-5"	"Male"	"M"	37077	16485737	224.9	410.3
	"1999"	"1999"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"White"	"2106-3"	"Female"	"F"	314498	100698584	312.3	213.9
	"1999"	"1999"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"White"	"2106-3"	"Male"	"M"	293206	96455534	304.0	330.0
	"1999"	"1999"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"Black or African American"	"2054-5"	"Female"	"F"	2158	18236499	11.8	15.3
	"1999"	"1999"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"Black or African American"	"2054-5"	"Male"	"M"	1550	16485737	9.4	17.5
	"1999"	"1999"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"White"	"2106-3"	"Female"	"F"	7653	100698584	7.6	5.1
	"1999"	"1999"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"White"	"2106-3"	"Male"	"M"	4395	96455534	4.6	5.1
	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"Black or African American"	"2054-5"	"Female"	"F"	10908	18236499	59.8	77.1
	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"Black or African American"	"2054-5"	"Male"	"M"	7823	16485737	47.5	90.6
	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"White"	"2106-3"	"Female"	"F"	86748	100698584	86.1	58.4
	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"White"	"2106-3"	"Male"	"M"	51968	96455534	53.9	60.8
	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"Black or African American"	"2054-5"	"Female"	"F"	3008	18236499	16.5	20.9
	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"Black or African American"	"2054-5"	"Male"	"M"	2786	16485737	16.9	33.6
	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"White"	"2106-3"	"Female"	"F"	31183	100698584	31.0	20.7
	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"White"	"2106-3"	"Male"	"M"	23097	96455534	23.9	28.2
	"1999"	"1999"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"Black or African American"	"2054-5"	"Female"	"F"	3388	18236499	18.6	23.7
	"1999"	"1999"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"Black or African American"	"2054-5"	"Male"	"M"	4452	16485737	27.0	52.0
	"1999"	"1999"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"White"	"2106-3"	"Female"	"F"	56306	100698584	55.9	40.8
	"1999"	"1999"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"White"	"2106-3"	"Male"	"M"	55314	96455534	57.3	61.3
	"1999"	"1999"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"Black or African American"	"2054-5"	"Female"	"F"	727	18236499	4.0	5.2
	"1999"	"1999"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"Black or African American"	"2054-5"	"Male"	"M"	768	16485737	4.7	10.0
	"1999"	"1999"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"White"	"2106-3"	"Female"	"F"	6497	100698584	6.5	4.3
	"1999"	"1999"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"White"	"2106-3"	"Male"	"M"	6642	96455534	6.9	8.1
	"1999"	"1999"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"Black or African American"	"2054-5"	"Female"	"F"	981	18236499	5.4	6.4
	"1999"	"1999"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"Black or African American"	"2054-5"	"Male"	"M"	1812	16485737	11.0	15.0
	"1999"	"1999"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"White"	"2106-3"	"Female"	"F"	6989	100698584	6.9	5.8
	"1999"	"1999"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"White"	"2106-3"	"Male"	"M"	12613	96455534	13.1	12.5
	"1999"	"1999"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"Black or African American"	"2054-5"	"Female"	"F"	3675	18236499	20.2	25.7
	"1999"	"1999"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"Black or African American"	"2054-5"	"Male"	"M"	2984	16485737	18.1	34.1
	"1999"	"1999"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"White"	"2106-3"	"Female"	"F"	13625	100698584	13.5	9.5
	"1999"	"1999"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"White"	"2106-3"	"Male"	"M"	12793	96455534	13.3	14.9
	"1999"	"1999"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"Black or African American"	"2054-5"	"Female"	"F"	2182	18236499	12.0	10.8
	"1999"	"1999"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"Black or African American"	"2054-5"	"Male"	"M"	2818	16485737	17.1	13.5
	"1999"	"1999"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"White"	"2106-3"	"Female"	"F"	2757	100698584	2.7	3.4
	"1999"	"1999"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"White"	"2106-3"	"Male"	"M"	3627	96455534	3.8	4.3
	"1999"	"1999"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"Black or African American"	"2054-5"	"Female"	"F"	3904	18236499	21.4	23.5
	"1999"	"1999"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"Black or African American"	"2054-5"	"Male"	"M"	8629	16485737	52.3	62.4
	"1999"	"1999"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"White"	"2106-3"	"Female"	"F"	27213	100698584	27.0	22.9
	"1999"	"1999"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"White"	"2106-3"	"Male"	"M"	46113	96455534	47.8	49.1
	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"Black or African American"	"2054-5"	"Female"	"F"	294	18236499	1.6	1.7
	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"Black or African American"	"2054-5"	"Male"	"M"	1630	16485737	9.9	10.5
	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"White"	"2106-3"	"Female"	"F"	4914	100698584	4.9	4.7
	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"White"	"2106-3"	"Male"	"M"	19620	96455534	20.3	20.2
	"1999"	"1999"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"Black or African American"	"2054-5"	"Female"	"F"	1405	18236499	7.7	7.5
	"1999"	"1999"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"Black or African American"	"2054-5"	"Male"	"M"	6131	16485737	37.2	35.2
	"1999"	"1999"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"White"	"2106-3"	"Female"	"F"	2001	100698584	2.0	2.0
	"1999"	"1999"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"White"	"2106-3"	"Male"	"M"	3747	96455534	3.9	3.8
	"2000"	"2000"	"#Septicemia (A40-A41)"	"GR113-010"	"Black or African American"	"2054-5"	"Female"	"F"	3304	18419074	17.9	22.8
	"2000"	"2000"	"#Septicemia (A40-A41)"	"GR113-010"	"Black or African American"	"2054-5"	"Male"	"M"	2559	16672735	15.3	28.4
	"2000"	"2000"	"#Septicemia (A40-A41)"	"GR113-010"	"White"	"2106-3"	"Female"	"F"	13461	100773935	13.4	9.5
	"2000"	"2000"	"#Septicemia (A40-A41)"	"GR113-010"	"White"	"2106-3"	"Male"	"M"	10056	96550749	10.4	11.1
	"2000"	"2000"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Black or African American"	"2054-5"	"Female"	"F"	2417	18419074	13.1	13.5
	"2000"	"2000"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Black or African American"	"2054-5"	"Male"	"M"	5291	16672735	31.7	35.5
	"2000"	"2000"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"White"	"2106-3"	"Female"	"F"	725	100773935	0.7	0.7
	"2000"	"2000"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"White"	"2106-3"	"Male"	"M"	3837	96550749	4.0	3.8
	"2000"	"2000"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Black or African American"	"2054-5"	"Female"	"F"	28897	18419074	156.9	196.9
	"2000"	"2000"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Black or African American"	"2054-5"	"Male"	"M"	32493	16672735	194.9	344.8
	"2000"	"2000"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"White"	"2106-3"	"Female"	"F"	222268	100773935	220.6	170.0
	"2000"	"2000"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"White"	"2106-3"	"Male"	"M"	235932	96550749	244.4	247.7
	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"Black or African American"	"2054-5"	"Female"	"F"	7198	18419074	39.1	50.2
	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"Black or African American"	"2054-5"	"Male"	"M"	4720	16672735	28.3	49.4
	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"White"	"2106-3"	"Female"	"F"	26698	100773935	26.5	19.4
	"2000"	"2000"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"White"	"2106-3"	"Male"	"M"	23465	96550749	24.3	25.1
	"2000"	"2000"	"#Parkinson disease (G20-G21)"	"GR113-051"	"Black or African American"	"2054-5"	"Female"	"F"	224	18419074	1.2	1.6
	"2000"	"2000"	"#Parkinson disease (G20-G21)"	"GR113-051"	"Black or African American"	"2054-5"	"Male"	"M"	304	16672735	1.8	4.2
	"2000"	"2000"	"#Parkinson disease (G20-G21)"	"GR113-051"	"White"	"2106-3"	"Female"	"F"	6381	100773935	6.3	4.3
	"2000"	"2000"	"#Parkinson disease (G20-G21)"	"GR113-051"	"White"	"2106-3"	"Male"	"M"	8116	96550749	8.4	9.5
	"2000"	"2000"	"#Alzheimer disease (G30)"	"GR113-052"	"Black or African American"	"2054-5"	"Female"	"F"	1945	18419074	10.6	13.9
	"2000"	"2000"	"#Alzheimer disease (G30)"	"GR113-052"	"Black or African American"	"2054-5"	"Male"	"M"	774	16672735	4.6	11.6
	"2000"	"2000"	"#Alzheimer disease (G30)"	"GR113-052"	"White"	"2106-3"	"Female"	"F"	32123	100773935	31.9	20.4
	"2000"	"2000"	"#Alzheimer disease (G30)"	"GR113-052"	"White"	"2106-3"	"Male"	"M"	13123	96550749	13.6	16.1
	"2000"	"2000"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"Black or African American"	"2054-5"	"Female"	"F"	40424	18419074	219.5	281.0
	"2000"	"2000"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"Black or African American"	"2054-5"	"Male"	"M"	36282	16672735	217.6	396.6
	"2000"	"2000"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"White"	"2106-3"	"Female"	"F"	307255	100773935	304.9	206.8
	"2000"	"2000"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"White"	"2106-3"	"Male"	"M"	287210	96550749	297.5	319.9
	"2000"	"2000"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"Black or African American"	"2054-5"	"Female"	"F"	2286	18419074	12.4	15.9
	"2000"	"2000"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"Black or African American"	"2054-5"	"Male"	"M"	1576	16672735	9.5	17.3
	"2000"	"2000"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"White"	"2106-3"	"Female"	"F"	8196	100773935	8.1	5.5
	"2000"	"2000"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	"White"	"2106-3"	"Male"	"M"	4721	96550749	4.9	5.4
	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"Black or African American"	"2054-5"	"Female"	"F"	11108	18419074	60.3	77.2
	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"Black or African American"	"2054-5"	"Male"	"M"	7945	16672735	47.7	90.8
	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"White"	"2106-3"	"Female"	"F"	86210	100773935	85.5	57.6
	"2000"	"2000"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	"White"	"2106-3"	"Male"	"M"	52000	96550749	53.9	59.9
	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"Black or African American"	"2054-5"	"Female"	"F"	3040	18419074	16.5	21.0
	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"Black or African American"	"2054-5"	"Male"	"M"	2880	16672735	17.3	34.3
	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"White"	"2106-3"	"Female"	"F"	31526	100773935	31.3	20.7
	"2000"	"2000"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	"White"	"2106-3"	"Male"	"M"	23609	96550749	24.5	28.3
	"2000"	"2000"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"Black or African American"	"2054-5"	"Female"	"F"	3344	18419074	18.2	23.1
	"2000"	"2000"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"Black or African American"	"2054-5"	"Male"	"M"	4184	16672735	25.1	47.9
	"2000"	"2000"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"White"	"2106-3"	"Female"	"F"	56670	100773935	56.2	40.7
	"2000"	"2000"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	"White"	"2106-3"	"Male"	"M"	53231	96550749	55.1	58.5
	"2000"	"2000"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"Black or African American"	"2054-5"	"Female"	"F"	750	18419074	4.1	5.3
	"2000"	"2000"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"Black or African American"	"2054-5"	"Male"	"M"	757	16672735	4.5	9.5
	"2000"	"2000"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"White"	"2106-3"	"Female"	"F"	7129	100773935	7.1	4.7
	"2000"	"2000"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	"White"	"2106-3"	"Male"	"M"	7214	96550749	7.5	8.7
	"2000"	"2000"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"Black or African American"	"2054-5"	"Female"	"F"	996	18419074	5.4	6.4
	"2000"	"2000"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"Black or African American"	"2054-5"	"Male"	"M"	1709	16672735	10.3	13.7
	"2000"	"2000"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"White"	"2106-3"	"Female"	"F"	7099	100773935	7.0	5.9
	"2000"	"2000"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	"White"	"2106-3"	"Male"	"M"	12640	96550749	13.1	12.4
	"2000"	"2000"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"Black or African American"	"2054-5"	"Female"	"F"	3808	18419074	20.7	26.4
	"2000"	"2000"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"Black or African American"	"2054-5"	"Male"	"M"	3045	16672735	18.3	33.6
	"2000"	"2000"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"White"	"2106-3"	"Female"	"F"	14357	100773935	14.2	9.9
	"2000"	"2000"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	"White"	"2106-3"	"Male"	"M"	13567	96550749	14.1	15.6
	"2000"	"2000"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"Black or African American"	"2054-5"	"Female"	"F"	2118	18419074	11.5	10.3
	"2000"	"2000"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"Black or African American"	"2054-5"	"Male"	"M"	2760	16672735	16.6	13.0
	"2000"	"2000"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"White"	"2106-3"	"Female"	"F"	2713	100773935	2.7	3.4
	"2000"	"2000"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	"White"	"2106-3"	"Male"	"M"	3605	96550749	3.7	4.3
	"2000"	"2000"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"Black or African American"	"2054-5"	"Female"	"F"	3707	18419074	20.1	21.8
	"2000"	"2000"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"Black or African American"	"2054-5"	"Male"	"M"	8380	16672735	50.3	59.2
	"2000"	"2000"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"White"	"2106-3"	"Female"	"F"	27066	100773935	26.9	22.7
	"2000"	"2000"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	"White"	"2106-3"	"Male"	"M"	46470	96550749	48.1	49.2
	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"Black or African American"	"2054-5"	"Female"	"F"	322	18419074	1.7	1.8
	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"Black or African American"	"2054-5"	"Male"	"M"	1601	16672735	9.6	10.2
	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"White"	"2106-3"	"Female"	"F"	4905	100773935	4.9	4.7
	"2000"	"2000"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	"White"	"2106-3"	"Male"	"M"	19711	96550749	20.4	20.2
	"2000"	"2000"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"Black or African American"	"2054-5"	"Female"	"F"	1366	18419074	7.4	7.2
	"2000"	"2000"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"Black or African American"	"2054-5"	"Male"	"M"	6382	16672735	38.3	36.4
	"2000"	"2000"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"White"	"2106-3"	"Female"	"F"	1919	100773935	1.9	1.9
	"2000"	"2000"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	"White"	"2106-3"	"Male"	"M"	3510	96550749	3.6	3.6
	"2001"	"2001"	"#Septicemia (A40-A41)"	"GR113-010"	"Black or African American"	"2054-5"	"Female"	"F"	3218	18692119	17.2	21.7
	"2001"	"2001"	"#Septicemia (A40-A41)"	"GR113-010"	"Black or African American"	"2054-5"	"Male"	"M"	2611	16946270	15.4	28.3
	"2001"	"2001"	"#Septicemia (A40-A41)"	"GR113-010"	"White"	"2106-3"	"Female"	"F"	13721	100952397	13.6	9.7
	"2001"	"2001"	"#Septicemia (A40-A41)"	"GR113-010"	"White"	"2106-3"	"Male"	"M"	10668	96890274	11.0	11.6
	"2001"	"2001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Black or African American"	"2054-5"	"Female"	"F"	2483	18692119	13.3	13.8
	"2001"	"2001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"Black or African American"	"2054-5"	"Male"	"M"	5227	16946270	30.8	34.3
	"2001"	"2001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"White"	"2106-3"	"Female"	"F"	617	100952397	0.6	0.6
	"2001"	"2001"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	"White"	"2106-3"	"Male"	"M"	3669	96890274	3.8	3.6
	"2001"	"2001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Black or African American"	"2054-5"	"Female"	"F"	29245	18692119	156.5	194.9
	"2001"	"2001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"Black or African American"	"2054-5"	"Male"	"M"	32335	16946270	190.8	335.9
	"2001"	"2001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"White"	"2106-3"	"Female"	"F"	220705	100952397	218.6	167.6
	"2001"	"2001"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	"White"	"2106-3"	"Male"	"M"	236004	96890274	243.6	243.8
	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"Black or African American"	"2054-5"	"Female"	"F"	7184	18692119	38.4	49.0
	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"Black or African American"	"2054-5"	"Male"	"M"	4983	16946270	29.4	50.5
	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"White"	"2106-3"	"Female"	"F"	27180	100952397	26.9	19.6
	"2001"	"2001"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"White"	"2106-3"	"Male"	"M"	24302	96890274	25.1	25.5
	"2001"	"2001"	"#Parkinson disease (G20-G21)"	"GR113-051"	"Black or African American"	"2054-5"	"Female"	"F"	256	18692119	1.4	1.8
	"2001"	"2001"	"#Parkinson disease (G20-G21)"	"GR113-051"	"Black or African American"	"2054-5"	"Male"	"M"	291	16946270	1.7	4.0
	"2001"	"2001"	"#Parkinson disease (G20-G21)"	"GR113-051"	"White"	"2106-3"	"Female"	"F"	6554	100952397	6.5	4.3
	"2001"	"2001"	"#Parkinson disease (G20-G21)"	"GR113-051"	"White"	"2106-3"	"Male"	"M"	8685	96890274	9.0	9.9
	"2001"	"2001"	"#Alzheimer disease (G30)"	"GR113-052"	"Black or African American"	"2054-5"	"Female"	"F"	2198	18692119	11.8	15.6
	"2001"	"2001"	"#Alzheimer disease (G30)"	"GR113-052"	"Black or African American"	"2054-5"	"Male"	"M"	906	16946270	5.3	13.6
	"2001"	"2001"	"#Alzheimer disease (G30)"	"GR113-052"	"White"	"2106-3"	"Female"	"F"	34735	100952397	34.4	21.9
	"2001"	"2001"	"#Alzheimer disease (G30)"	"GR113-052"	"White"	"2106-3"	"Male"	"M"	14295	96890274	14.8	17.2
	"2001"	"2001"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"Black or African American"	"2054-5"	"Female"	"F"	40253	18692119	215.3	275.2
	"2001"	"2001"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	"Black or African American"	"2054-5"	"Male"	"M"	36541	16946270	215.6	390.9
